,index,review_id,business_id,useful,text,date,name,address,city,state,postal_code,latitude,longitude,stars_y,is_open,RestaurantsPriceRange,RestaurantsTakeOut,RestaurantsDelivery,WiFi,Trendy,Hipster,Upscale,Touristy,Free Parking
0,0,KU_O5udG6zpxOg-VcAEodg,XQfwVwDr-v0ZS3_CbbE5Xw,0,"If you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. We have tried it multiple times, because I want to like it! I have been to it's other locations in NJ and never had a bad experience. 

The food is good, but it takes a very long time to come out. The waitstaff is very young, but usually pleasant. We have just had too many experiences where we spent way too long waiting. We usually opt for another diner or restaurant on the weekends, in order to be done quicker.",2018-07-07 22:09:11,Turning Point of North Wales,1460 Bethlehem Pike,North Wales,PA,19454,40.2101961875,-75.2236385919,3.0,1,1,,,1,0,0,0,0,1
1,1,VJxlBnJmCDIy8DFG0kjSow,XQfwVwDr-v0ZS3_CbbE5Xw,0,"This is the second time we tried turning point at this location. The first time we had a long wait for food after ordering, this time we had an even longer wait of over 40 minutes. I had the omelette skillet and there was hardly any egg in it, I felt like I was eating chopped onions and chopped tomatoes. My wife had a BLT and had a hard time finding the tomato and the avocado that was supposed be on it. Overall,The experience was stressful, mainly because of the long wait.",2017-05-13 17:06:55,Turning Point of North Wales,1460 Bethlehem Pike,North Wales,PA,19454,40.2101961875,-75.2236385919,3.0,1,1,,,1,0,0,0,0,1
2,2,S6pQZQocMB1WHMjTRbt77A,XQfwVwDr-v0ZS3_CbbE5Xw,2,The place is cute and the staff was very friendly. Nice menu. Good for brunch. We had lunch and were seated right away. I really enjoyed the avocado  toast and side of bacon. Nice to have another brunch place nearby.,2017-08-08 00:58:18,Turning Point of North Wales,1460 Bethlehem Pike,North Wales,PA,19454,40.2101961875,-75.2236385919,3.0,1,1,,,1,0,0,0,0,1
3,3,WqgTKVqWVHDHjnjEsBvUgg,XQfwVwDr-v0ZS3_CbbE5Xw,0,"We came on a Saturday morning after waiting a few months after opening hoping that they would resolve the issues from a new restaurant opening. We were seated right away and the server brought water, coffee and took our orders right away. We waited over 30 mins for breakfast. I got the freebird and came out first before my husband's dish. While it tastes good, it was just potatoes and the spicy sausage gravy was mostly a sauce. There was barely any sausage. My husband got the ny deli omelette that had way too much cheese that it overpowered everything and very little pastrami. Lastly, we were ready to go and our server spent at least 10 mins chatting at another table so I couldn't get our check. I'm not sure if we will return.",2017-11-19 02:20:23,Turning Point of North Wales,1460 Bethlehem Pike,North Wales,PA,19454,40.2101961875,-75.2236385919,3.0,1,1,,,1,0,0,0,0,1
4,4,AqPFMleE6RsU23_auESxiA,kxX2SOes4o-D3ZQBkiMRfA,1,"Wow!  Yummy, different,  delicious.   Our favorite is the lamb curry and korma.  With 10 different kinds of naan!!!  Don't let the outside deter you (because we almost changed our minds)...go in and try something new!   You'll be glad you did!",2015-01-04 00:01:03,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,,,0,0,0,0,0,1
5,5,HME_ksGph3se7Aze5hxa-Q,kxX2SOes4o-D3ZQBkiMRfA,0,"Dine-in gets 2 stars. Disappointing service & venue falls short. 

The food was ok; so if you were to do take out, maybe this place would get 3 stars. 

I ordered the lamb kebab, which tasted ok; but it was very plain. No sauces, lettuce or anything - just meat.",2014-07-13 17:25:47,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,,,0,0,0,0,0,1
6,6,EJWyA5wpdVMji1j4TwSZqQ,kxX2SOes4o-D3ZQBkiMRfA,13,"After a long hiatus from reviewing I have awaken from my 6 mouth yelp hibernation and my tummies a grumbles with an insatiable hunger for the cacophonous symphony of flavor that is Indian food. Like an all too familiar pattern, I go back to Mohammad Butt, my main man for marsala.
But whats this? 
There are whispers that he no longer cooks for ""Best Taste of Asia,"" that he is gone, never to return; some sort of falling out.

No.
No, it can't be! 
I need to score - one .. final .. hit..

Life ceases to have meaning, existential murmurings dog the mind. Who am I?
Why am I here?
What is Cheeze Wiz?
Its done, over, a round falls into the chamber and just as I prepare to end it all and pull the trigger- steps in ZAIKA.

Zaika - meaning the art of taste -  stays to to its name. This is a place where the Paneer (cheese) is made fresh in house, resulting in a cheese that's silky in texture. Especially when in contrast to the prepackaged rubbery bone-white LEGO blocks most small Indo-Pak places purchase from Indian Grocers in attempts to reduce prep-times. While at Zaika such shortcuts are not taken,  the Chef takes the extra steps needed to ensure a dish comes together as a whole. For example, the Chicken Makhani uses Smokey Tandoori Chicken, which I have never seen done before but it certainly aids the chicken to cut though the rich buttery tomato sauce and elevates the dish as a whole. Even entrées like Dall Fray or  Palak Paneer  have so much flavor that they will leave you not missing animal protein in the least should you choose to go the vegetarian route. 

Zaika 's appetizers, like the Veggie Samosa and Aloo Tikki, (spiced potato patties) are generally large, peppery and well spiced - the latter of which remind me of something my own mother would make. Though I must warn others to avoid the items that occasionally pop-up as specials like the potato stuffed chili peppers, unless they have a iron stomach or are a gluten for punishment. These peppers are spicy, not deveined or even seeded. Further, I find the fish pakora to be far too fishy.
 
I've become rather taken by Zaikia. Even the simply things such as the naan are good there. Just right in elasticity, the bread does not have too much give and yet isn't too soft. It's nothing elaborate, just properly risen with a light texture and  no egg or yeast flavor. The only complaint being that it lacked that signature faint sweetness naan has. But hey, I use it mostly for mopping up the other good stuff on the plate anyway and the sweetness gets lost in the mix, so I don't mind at all.

The menu has nearly 120 different items, all numbered to order by, making take-out phone orders convenient and should eliminate any fears anyone should have of a language barrier problem. Furthermore, it has short descriptions of each dish - something all ethnic places like this should have.
Though some items like Lassie (a frothy yogurt drink) do not appear on the menu, that too is offered - both a salty and sweet mango verities. 
The head chef speaks English quite well and should be easy to deal with should you want to inquire more or want to setup large orders.

I have already noticed parties negotiating catering for Ramadan as I anxiously awaited my own order.

The bottom line here is this, Mohammad Butt has expanded on the menu he once created for ""Best taste of Asia,"" and taken an all HALAL meat approach. 

Only good things can come of this, only good things.

P.S.
ZAIKA is right behind Nifty Fifties on Grant Ave., so you are all set for dessert should you want a milkshake. 
However, I would suggest getting the Ras Malai if available. These riccotta cheese dumplings flouting in soaked in sweetened, thickened milk are delicately flavored with cardamom, a very some amount of rose water and then garnished with pistachios. They are ungodly good.",2010-08-20 19:16:04,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,,,0,0,0,0,0,1
7,7,T_kAb2NeylB-JdNDKphryw,kxX2SOes4o-D3ZQBkiMRfA,1,We've eaten here 3 times and it seems that each time it gets even better! I had the shrimp malabar the last time and it was like a spiritual experience. Wonderful! The Naan  is always good and the service is quite attentive. It's hard to believe that this place isn't packed every time we go since this area of NE is pretty sparse on Indian.,2017-01-02 14:25:26,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,,,0,0,0,0,0,1
8,8,NENaCqb6TNj5CyY1LOdI6Q,kxX2SOes4o-D3ZQBkiMRfA,0,Came to Philly for a family event but stayed a little further out. Had dinner at this place and it was delicious! My favorite was the chicken chilli!,2015-07-28 17:15:20,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,,,0,0,0,0,0,1
9,9,l-bH0C-PSXmVs-vQqMfJ1Q,kxX2SOes4o-D3ZQBkiMRfA,0,A very neat little hole in the wall. Very clean with extremely good food in more than reasonable portions. Will definitely be back!,2015-06-21 01:11:14,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,,,0,0,0,0,0,1
10,10,qr7acpL3ZzP7cAmXaax93w,kxX2SOes4o-D3ZQBkiMRfA,1,"This place was a great find. I'd say its a 4.5 but just because of the interior decor. The food was really good, that's a solid 5. We had a vegetable samosa, chicken tikka masala, onion kulcha & lamb rogan josh. Go expecting great indian food but not great decor. We were giggling on the paint job, very easy to tell it wasn't done by a professional. It sits right behind Nifty Fifties so it kind of gets lost & not seen well from Grant Ave but so worth the effort.",2015-12-06 01:36:28,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,,,0,0,0,0,0,1
11,11,E2rc2AjhzYxtoVQigrTpvg,kxX2SOes4o-D3ZQBkiMRfA,1,"I've been here several times. The price is reasonable, food is quite good, and the service as well. I've always ordered take-out. One time I went, and the guy who normally takes my order wasn't there... Instead there were 2 ladies... I think one was the wife of the owner. Or something along those lines. Anyway they were nice but when I came back to pick up my order they handed me the wrong bag (someone else's order). They should have confirmed the contents, but frankly I should have as well, so I accept at least part of the blame. I ended up going all the way home before I realized the screw-up and came back. I wasn't angry but I was definitely hungry and super-annoyed. The two ladies were gracious and apologetic, and they even threw in a courtesy snack for my trouble.",2014-11-13 20:50:21,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,,,0,0,0,0,0,1
12,12,Sx8TMOWLNuJBWer-0pcmoA,e4Vwtrqf-wpJfwesgvdgxQ,1,"Cute interior and owner (?) gave us tour of upcoming patio/rooftop area which will be great on beautiful days like today. Cheese curds were very good and very filling. Really like that sandwiches come w salad, esp after eating too many curds! Had the onion, gruyere, tomato sandwich. Wasn't too much cheese which I liked. Needed something else...pepper jelly maybe. Would like to see more menu options added such as salads w fun cheeses. Lots of beer and wine as well as limited cocktails. Next time I will try one of the draft wines.",2017-01-14 20:54:15,Melt,2549 Banks St,New Orleans,LA,70119,29.962102,-90.087958,4.0,0,1,,,1,0,0,0,0,0
13,13,JrIxlS1TzJ-iCu79ul40cQ,04UD14gamNjLY0IDYVhHJg,1,I am a long term frequent customer of this establishment. I just went in to order take out (3 apps) and was told they're too busy to do it. Really? The place is maybe half full at best. Does your dick reach your ass? Yes? Go fuck yourself! I'm a frequent customer AND great tipper. Glad that Kanella just opened. NEVER going back to dmitris!,2015-09-23 23:10:31,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,,,0,0,0,0,0,0
14,14,UWCX5uj76EZqQRJ_a9E_OA,04UD14gamNjLY0IDYVhHJg,0,"Dmitri's is the best Greek food in town. If you're a seafood lover, go for the shrimp pil pil and the octopus. The grilled lamb and chicken entrees are the only non seafood items, but they're fantastic. Make sure to get the hummus - it comes with unlimited warm grilled pita and baguette.

Also - BYOB! And they don't take reservations. Kitchen closes at 10 so make sure to get there by 9:30.",2015-07-03 19:24:24,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,,,0,0,0,0,0,0
15,15,zHkS8aDfAy-GoBe0ZtwlVg,04UD14gamNjLY0IDYVhHJg,3,"If I could give this place 6 stars, I would.  Food is consistent, simple, and good.  People who are complaining about the cramped space and pissy waitresses need to relax- this is what a good BYO in a little homey neighborhood in a big city is like.  If you want room, go to Applebee's and request a booth.  Won't miss ya.

My husband and I always get the same thing- 1/2 and 1/2 (a combo plate with half hummus and half baba), sauteed mussels, smelts, shrimp scampi, and grilled octopus.  If we have room, the rice pudding is great.

FYI- plan in plenty of time to find parking, BYO, and cash only.",2010-01-11 00:38:17,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,,,0,0,0,0,0,0
16,16,HW1OOzrOyyd_Dqiak7GiJQ,04UD14gamNjLY0IDYVhHJg,2,"We love good food and would rather have a fine meal in a mediocre space than a lousy meal in an elegant space.  Alas, our first (and last) experience here gave us a lousy meal in a mediocre setting.

* The space is drab and dreary.
* Tables crammed too close together
* Noise level excessively high - impossible to have a relaxed conversation, have to compete with too-loud talking at too-close tables, flatware and plates rattling on the stone tabletops
* Cheesy, cheap paper napkins at a not-cheap restaurant
* Worn, scuffed, cheap diner-type flatware 
* Bread that came with the hummus was stale, tasteless
* Rice and vegetable accompanied all four entrees - rice tasteless and lukewarm, greens mushy, overcooked, oily and unrecognizable
* Entrees rushed out before we had finished our apps
* For our wine, we were given old, small, worn-out flute-shaped glasses - totally inappropriate 

All in all, an entirely disappointing BYO meal at any cost, but especially so for close to $160 including gratuity for four apps, four entrees, two desserts.",2018-03-23 18:07:25,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,,,0,0,0,0,0,0
17,17,4HKz5Pcj2Lx1eEjvMevFiA,04UD14gamNjLY0IDYVhHJg,0,"Yes, yes, yes, yesss! Dmitri's is a wonderful BYOB with delicious, fresh, flavorful food. The QV space is tiny, but not cramped. You get a great amount for the price and I have never had a bad dish. Only downside is I have experienced a ""3"" level service on a few occasions, but the food keeps me coming back.",2015-06-09 15:30:37,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,,,0,0,0,0,0,0
18,26,_ZeMknuYdlQcUqng_Im3yg,LHSTtnW3YHCeUkRDGyJOyw,2,"Amazingly amazing wings and homemade bleu cheese. Had the ribeye: tender, perfectly prepared, delicious. Nice selection of craft beers. Would DEFINITELY recommend checking out this hidden gem.",2015-08-07 02:29:16,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,,,1,0,0,0,0,1
