business_id,useful,latitude,longitude,stars_y,is_open,RestaurantsPriceRange,RestaurantsTakeOut,RestaurantsDelivery,WiFi,Trendy,Hipster,Upscale,Touristy,Free Parking,Regions,compound,comp_score
--ZVrH2X2QXBFdCilbirsw,0.0,39.9972988,-75.2922074,4.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
-2Axhv9AZ_n7qjQefECpVw,0.0,36.2166079,-86.5963643,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8454,5.0
-2ke_JDOpgTZWqirMFjZcw,0.0,39.71531,-86.081227,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.13029999999999997,2.0
-3AooxIkg38UyUdlz5oXdw,1.0,34.421931,-119.7021852,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15275,3.0
-7GDqSUaXrpC8Ql7nDBxWA,0.0,40.0079839104,-75.2126064939,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9796,5.0
-D_L4GHXJQvy2wv0RkrupA,1.0,38.5235704,-90.3515778,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9731,5.0
-If0ps0QhOLCYVWQWs9RYg,3.5,29.9416242,-90.1295134,3.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9514,5.0
-JStjL-8mRZq4ov4uI1FaQ,0.0,40.3753297,-75.208113,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.8929,5.0
-K_FDDqmOt6hJLTOPgpnlA,0.0,38.7687386424,-90.5228420951,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9493,5.0
-OIUunijjcq_ZzyyQhPPFQ,0.0,39.9671642,-75.1748969,4.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.94035,5.0
-SFSt3FkjGfavnyMpHsZPA,3.0,27.8937596,-82.5251669,4.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9941,5.0
-TRXiliBZ2O2_BKyKQ32HA,0.0,43.6562033682,-116.2585391,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8991,5.0
-Tnsc_b8dsWuAq1wQugKZA,1.0,39.8722939,-85.955155,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9958,5.0
-V0vIgo6196MDn_x3ZaYmA,0.5,39.9506242,-75.1697297,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9698,5.0
-d8B04ueyxADRutlcHYewQ,0.5,40.310409,-75.131274,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9658,5.0
-eLCHvtz99fc985UNL1rTA,0.0,39.9117677,-86.2202697,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.383,1.0
-gx2zqPkSs-7aGZ01bDb7A,2.0,39.7678513498,-86.1565324707,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.945,5.0
-hVMfjPPEsSnga_gnYJx2w,1.0,39.4875800401,-119.7593061178,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9215,5.0
-kAaeJxXCtLNAo3DosoXXA,0.0,27.7988788,-82.7003544,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9666,5.0
